Filename PupX PupY PupR PupQ IriX IriY IriR IriQ PuEX PuEY PuEA PuEB PuET PuEQ IrEX IrEY IrEA IrEB IrET IrEQ OPrUpA OPrUpX OPrUpY OPrUpQ 
2029(r-1-3)110707-115400_e_00_0001.bmp 319 244 38 95 317 244 102 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 182 36 
2029(r-1-3)110707-115400_e_00_0002.bmp 319 242 41 100 317 242 101 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 178 37 
2029(r-1-3)110707-115400_e_00_0003.bmp 320 241 42 93 318 241 100 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 324 186 29 
2029(r-1-3)110707-115400_e_00_0004.bmp 319 246 42 89 316 246 101 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 283 195 20 
2029(r-1-3)110707-115400_e_00_0005.bmp 317 242 50 100 315 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 182 34 
2029(r-1-3)110707-115400_e_00_0006.bmp 318 242 46 100 317 242 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 180 37 
2029(r-1-3)110707-115400_e_00_0007.bmp 318 242 47 100 316 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 170 27 
2029(r-1-3)110707-115400_e_00_0008.bmp 318 243 48 100 317 243 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 184 34 
2029(r-1-3)110707-115400_e_00_0009.bmp 319 243 48 92 317 243 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 335 194 22 
2029(r-1-3)110707-115400_e_01_0000.bmp 322 244 36 100 323 244 102 77 0 0 0 0 0 0 0 0 0 0 0 0 2097 323 178 34 
2029(r-1-3)110707-115400_e_01_0001.bmp 320 242 42 100 321 242 100 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 177 36 
2029(r-1-3)110707-115400_e_01_0002.bmp 320 242 44 100 321 242 100 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 181 39 
2029(r-1-3)110707-115400_e_01_0003.bmp 320 243 44 100 321 243 100 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 183 45 
2029(r-1-3)110707-115400_e_01_0004.bmp 318 242 46 100 318 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 311 189 38 
2029(r-1-3)110707-115400_e_01_0005.bmp 319 242 43 100 319 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 175 29 
2029(r-1-3)110707-115400_e_01_0006.bmp 318 242 49 100 319 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 312 181 38 
2029(r-1-3)110707-115400_e_01_0007.bmp 320 242 50 100 320 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 313 169 23 
2029(r-1-3)110707-115400_e_01_0008.bmp 319 243 47 100 320 243 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 313 179 45 
2029(r-1-3)110707-115400_e_01_0009.bmp 318 242 49 100 318 242 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 310 185 40 
2033(r-1-3)110707-115400_e_00_0000.bmp 318 243 55 62 312 243 126 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 148 1 
2033(r-1-3)110707-115400_e_00_0001.bmp 319 242 55 49 313 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 332 178 46 
2033(r-1-3)110707-115400_e_00_0002.bmp 321 243 53 68 317 243 117 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 198 1 
2033(r-1-3)110707-115400_e_00_0003.bmp 318 241 50 87 314 241 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 323 167 32 
2033(r-1-3)110707-115400_e_00_0004.bmp 320 243 52 70 318 243 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 345 182 41 
2033(r-1-3)110707-115400_e_00_0005.bmp 319 242 49 100 315 242 121 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 334 159 38 
2033(r-1-3)110707-115400_e_00_0006.bmp 322 249 44 100 316 249 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 334 191 38 
2033(r-1-3)110707-115400_e_00_0007.bmp 318 242 43 95 314 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 323 156 38 
2033(r-1-3)110707-115400_e_00_0008.bmp 316 242 49 87 310 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 162 39 
2033(r-1-3)110707-115400_e_01_0000.bmp 319 236 40 46 329 236 128 57 0 0 0 0 0 0 0 0 0 0 0 0 0 320 198 1 
2033(r-1-3)110707-115400_e_01_0001.bmp 318 243 56 53 326 243 129 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 327 185 49 
2033(r-1-3)110707-115400_e_01_0002.bmp 320 244 46 95 327 244 122 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 181 1 
2033(r-1-3)110707-115400_e_01_0003.bmp 321 243 47 90 328 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 328 191 36 
2033(r-1-3)110707-115400_e_01_0004.bmp 318 242 43 100 327 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 310 201 49 
2033(r-1-3)110707-115400_e_01_0005.bmp 320 242 50 84 326 242 124 76 0 0 0 0 0 0 0 0 0 0 0 0 1049 361 190 29 
2033(r-1-3)110707-115400_e_01_0006.bmp 318 242 44 87 325 242 126 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 343 195 28 
2033(r-1-3)110707-115400_e_01_0007.bmp 320 244 41 81 326 244 125 80 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 206 31 
2033(r-1-3)110707-115400_e_01_0008.bmp 320 243 44 87 326 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 193 39 
2036(r-1-3)110707-115400_e_00_0000.bmp 318 243 36 100 316 243 121 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 177 33 
2036(r-1-3)110707-115400_e_00_0001.bmp 317 243 37 100 313 243 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 177 37 
2036(r-1-3)110707-115400_e_00_0002.bmp 320 244 37 100 317 244 124 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 175 41 
2036(r-1-3)110707-115400_e_00_0003.bmp 320 244 37 100 317 244 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 178 46 
2036(r-1-3)110707-115400_e_00_0004.bmp 318 244 36 100 314 244 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 168 36 
2036(r-1-3)110707-115400_e_00_0005.bmp 318 242 37 100 316 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 171 36 
2036(r-1-3)110707-115400_e_00_0006.bmp 318 242 38 100 316 242 128 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 169 36 
2036(r-1-3)110707-115400_e_00_0007.bmp 318 245 34 100 316 245 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 334 189 41 
2036(r-1-3)110707-115400_e_00_0008.bmp 318 244 37 100 316 244 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 334 183 46 
2036(r-1-3)110707-115400_e_00_0009.bmp 320 242 40 65 317 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 345 203 28 
2036(r-1-3)110707-115400_e_01_0000.bmp 318 243 40 100 322 246 120 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 322 167 48 
2036(r-1-3)110707-115400_e_01_0001.bmp 318 242 38 100 323 242 121 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 169 38 
2036(r-1-3)110707-115400_e_01_0002.bmp 320 242 39 100 325 242 123 76 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 168 37 
2036(r-1-3)110707-115400_e_01_0003.bmp 320 241 40 100 326 242 123 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 168 40 
2036(r-1-3)110707-115400_e_01_0004.bmp 319 241 33 100 324 241 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 161 45 
2036(r-1-3)110707-115400_e_01_0005.bmp 320 241 36 100 326 241 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 155 48 
2036(r-1-3)110707-115400_e_01_0006.bmp 316 242 39 100 322 242 128 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 322 160 43 
2036(r-1-3)110707-115400_e_01_0007.bmp 319 243 34 100 323 243 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 323 175 36 
2036(r-1-3)110707-115400_e_01_0008.bmp 319 243 34 100 324 243 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 334 170 43 
2036(r-1-3)110707-115400_e_01_0009.bmp 319 241 40 100 324 241 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 333 174 37 
2045(r-1-3)110707-115400_e_00_0000.bmp 320 243 28 100 314 243 99 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 187 45 
2045(r-1-3)110707-115400_e_00_0001.bmp 320 244 29 96 314 244 101 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 187 56 
2045(r-1-3)110707-115400_e_00_0002.bmp 319 242 30 100 315 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 316 186 53 
2045(r-1-3)110707-115400_e_00_0003.bmp 319 245 28 100 315 245 105 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 316 186 62 
2045(r-1-3)110707-115400_e_00_0004.bmp 320 245 28 100 314 245 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 186 61 
2045(r-1-3)110707-115400_e_00_0005.bmp 320 242 32 100 316 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 309 184 66 
2045(r-1-3)110707-115400_e_00_0006.bmp 318 243 30 100 314 243 106 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 186 51 
2045(r-1-3)110707-115400_e_00_0007.bmp 319 244 33 100 314 244 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 307 182 53 
2045(r-1-3)110707-115400_e_00_0008.bmp 318 244 34 100 313 244 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 188 58 
2045(r-1-3)110707-115400_e_00_0009.bmp 318 242 35 100 313 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 180 51 
2045(r-1-3)110707-115400_e_00_0010.bmp 318 242 37 100 313 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 181 52 
2045(r-1-3)110707-115400_e_01_0000.bmp 318 242 25 100 324 242 101 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 343 180 41 
2045(r-1-3)110707-115400_e_01_0001.bmp 320 242 30 100 325 242 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 343 178 48 
2045(r-1-3)110707-115400_e_01_0002.bmp 318 242 28 100 323 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 342 177 41 
2045(r-1-3)110707-115400_e_01_0003.bmp 320 244 29 100 325 244 105 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 344 177 47 
2045(r-1-3)110707-115400_e_01_0004.bmp 320 242 30 100 325 242 105 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 344 173 41 
2045(r-1-3)110707-115400_e_01_0005.bmp 319 241 33 100 325 241 106 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 334 175 53 
2045(r-1-3)110707-115400_e_01_0006.bmp 319 240 30 100 326 240 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 336 173 48 
2045(r-1-3)110707-115400_e_01_0007.bmp 317 242 33 100 324 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 334 172 53 
2045(r-1-3)110707-115400_e_01_0008.bmp 319 243 32 95 325 243 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 334 172 50 
2045(r-1-3)110707-115400_e_01_0009.bmp 320 243 37 100 326 243 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 336 170 49 
2045(r-1-3)110707-115400_e_01_0010.bmp 318 242 38 96 323 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 333 170 43 
2050(r-1-3)110707-115400_e_00_0000.bmp 319 242 47 100 316 242 114 77 0 0 0 0 0 0 0 0 0 0 0 0 2097 343 185 31 
2050(r-1-3)110707-115400_e_00_0001.bmp 320 242 44 100 317 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 353 188 31 
2050(r-1-3)110707-115400_e_00_0002.bmp 319 241 50 100 313 241 118 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 349 189 23 
2050(r-1-3)110707-115400_e_00_0003.bmp 319 242 54 77 313 242 121 80 0 0 0 0 0 0 0 0 0 0 0 0 2097 341 183 22 
2050(r-1-3)110707-115400_e_00_0004.bmp 322 242 54 76 317 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 301 177 29 
2050(r-1-3)110707-115400_e_00_0005.bmp 319 242 61 77 315 242 131 79 0 0 0 0 0 0 0 0 0 0 0 0 1049 299 160 25 
2050(r-1-3)110707-115400_e_00_0006.bmp 320 243 55 79 314 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 350 172 25 
2050(r-1-3)110707-115400_e_00_0007.bmp 319 242 55 69 316 242 129 60 0 0 0 0 0 0 0 0 0 0 0 0 2097 353 171 23 
2050(r-1-3)110707-115400_e_00_0008.bmp 320 242 54 71 316 242 125 79 0 0 0 0 0 0 0 0 0 0 0 0 0 320 184 1 
2050(r-1-3)110707-115400_e_00_0009.bmp 320 242 56 77 315 242 132 80 0 0 0 0 0 0 0 0 0 0 0 0 2097 360 167 25 
2050(r-1-3)110707-115400_e_01_0000.bmp 318 242 53 78 322 242 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 296 191 37 
2050(r-1-3)110707-115400_e_01_0001.bmp 320 242 55 87 323 242 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 297 192 40 
2050(r-1-3)110707-115400_e_01_0002.bmp 319 242 50 96 324 242 115 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 299 193 38 
2050(r-1-3)110707-115400_e_01_0003.bmp 319 242 59 78 323 242 119 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 298 186 31 
2050(r-1-3)110707-115400_e_01_0004.bmp 320 241 61 80 325 241 126 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 308 182 27 
2050(r-1-3)110707-115400_e_01_0005.bmp 319 242 63 77 323 242 129 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 377 163 24 
2050(r-1-3)110707-115400_e_01_0006.bmp 319 242 60 59 322 242 123 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 297 186 36 
2050(r-1-3)110707-115400_e_01_0007.bmp 320 242 62 59 323 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 298 185 27 
2050(r-1-3)110707-115400_e_01_0008.bmp 318 242 63 75 321 242 123 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 296 188 27 
2050(r-1-3)110707-115400_e_01_0009.bmp 318 242 67 68 321 242 130 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 295 182 28 
2053(r-1-3)110707-115400_e_00_0000.bmp 321 246 45 100 317 246 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 179 38 
2053(r-1-3)110707-115400_e_00_0001.bmp 320 241 47 100 317 241 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 178 45 
2053(r-1-3)110707-115400_e_00_0002.bmp 319 241 43 100 315 241 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 174 43 
2053(r-1-3)110707-115400_e_00_0003.bmp 323 237 46 100 320 237 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 330 174 38 
2053(r-1-3)110707-115400_e_00_0004.bmp 318 242 44 100 315 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 180 38 
2053(r-1-3)110707-115400_e_00_0005.bmp 321 245 44 100 316 245 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 185 37 
2053(r-1-3)110707-115400_e_00_0006.bmp 318 242 48 100 315 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 182 44 
2053(r-1-3)110707-115400_e_00_0007.bmp 320 242 43 100 317 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 179 44 
2053(r-1-3)110707-115400_e_00_0008.bmp 317 242 43 100 314 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 181 42 
2053(r-1-3)110707-115400_e_00_0009.bmp 320 242 46 100 316 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 335 184 39 
2053(r-1-3)110707-115400_e_00_0010.bmp 320 242 43 100 317 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 182 45 
2053(r-1-3)110707-115400_e_01_0000.bmp 319 242 46 100 320 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 303 177 35 
2053(r-1-3)110707-115400_e_01_0001.bmp 318 242 46 100 320 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 313 179 39 
2053(r-1-3)110707-115400_e_01_0002.bmp 319 242 43 100 320 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 312 178 35 
2053(r-1-3)110707-115400_e_01_0003.bmp 319 242 43 100 322 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 182 36 
2053(r-1-3)110707-115400_e_01_0004.bmp 319 241 46 100 322 241 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 181 33 
2053(r-1-3)110707-115400_e_01_0005.bmp 318 242 49 100 322 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 180 31 
2053(r-1-3)110707-115400_e_01_0006.bmp 318 240 46 95 320 240 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 313 188 35 
2053(r-1-3)110707-115400_e_01_0007.bmp 319 242 44 96 320 242 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 303 183 35 
2053(r-1-3)110707-115400_e_01_0008.bmp 318 242 43 100 320 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 304 181 38 
2053(r-1-3)110707-115400_e_01_0009.bmp 321 242 42 100 323 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 180 35 
2053(r-1-3)110707-115400_e_01_0010.bmp 318 242 48 100 320 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 312 179 33 
2054(r-1-3)110707-115400_e_00_0000.bmp 319 244 46 100 317 244 100 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 300 165 30 
2054(r-1-3)110707-115400_e_00_0001.bmp 320 242 48 100 318 242 99 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 319 166 31 
2054(r-1-3)110707-115400_e_00_0002.bmp 318 241 47 100 316 241 101 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 162 31 
2054(r-1-3)110707-115400_e_00_0003.bmp 318 243 47 100 316 243 100 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 316 166 32 
2054(r-1-3)110707-115400_e_00_0004.bmp 321 243 47 100 319 243 102 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 319 166 36 
2054(r-1-3)110707-115400_e_00_0005.bmp 318 242 48 100 316 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 309 163 30 
2054(r-1-3)110707-115400_e_00_0006.bmp 318 242 47 100 316 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 316 163 34 
2054(r-1-3)110707-115400_e_00_0007.bmp 319 241 46 100 317 241 102 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 317 163 36 
2054(r-1-3)110707-115400_e_00_0008.bmp 318 241 45 100 317 241 101 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 318 162 35 
2054(r-1-3)110707-115400_e_00_0009.bmp 319 241 46 100 318 241 102 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 169 1 
2054(r-1-3)110707-115400_e_01_0000.bmp 319 243 46 100 322 243 100 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 340 157 26 
2054(r-1-3)110707-115400_e_01_0001.bmp 320 243 48 100 322 243 100 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 160 27 
2054(r-1-3)110707-115400_e_01_0002.bmp 321 243 50 96 323 243 101 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 191 27 
2054(r-1-3)110707-115400_e_01_0003.bmp 320 243 50 100 322 243 101 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 341 161 29 
2054(r-1-3)110707-115400_e_01_0004.bmp 321 242 47 100 323 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 342 159 29 
2054(r-1-3)110707-115400_e_01_0005.bmp 318 243 48 100 320 243 102 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 329 160 29 
2054(r-1-3)110707-115400_e_01_0006.bmp 321 240 47 100 323 240 102 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 341 159 32 
2054(r-1-3)110707-115400_e_01_0007.bmp 319 243 47 100 321 243 102 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 330 160 27 
2054(r-1-3)110707-115400_e_01_0008.bmp 320 242 47 100 322 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 160 29 
2054(r-1-3)110707-115400_e_01_0009.bmp 320 242 49 100 322 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 340 159 24 
2058(r-1-3)110707-115400_e_00_0000.bmp 320 241 55 88 314 241 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 297 175 30 
2058(r-1-3)110707-115400_e_00_0001.bmp 318 244 44 100 313 244 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 297 165 28 
2058(r-1-3)110707-115400_e_00_0002.bmp 318 243 44 100 313 243 114 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 144 1 
2058(r-1-3)110707-115400_e_00_0003.bmp 319 241 44 100 315 241 114 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 333 192 31 
2058(r-1-3)110707-115400_e_00_0004.bmp 319 243 47 92 315 243 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 298 173 32 
2058(r-1-3)110707-115400_e_00_0005.bmp 319 239 54 80 314 239 116 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 314 175 30 
2058(r-1-3)110707-115400_e_00_0006.bmp 319 243 50 100 316 243 115 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 174 1 
2058(r-1-3)110707-115400_e_00_0007.bmp 318 242 52 94 313 242 116 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 164 1 
2058(r-1-3)110707-115400_e_00_0008.bmp 319 242 50 100 316 242 115 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 167 1 
2058(r-1-3)110707-115400_e_00_0009.bmp 318 242 55 51 313 242 115 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 192 52 
2058(r-1-3)110707-115400_e_01_0000.bmp 318 241 43 100 320 241 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 338 159 29 
